,MODEL,MAKE,MODEL.1,VEHICLE CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL_CONSUMPTION,Additional_Fuel_Consumption_1,Additional_Fuel_Consumption_2,Additional_Fuel_Consumption_3,CO2_EMISSIONS
107,2001,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,M6,Z,13.9,9.5,11.9,24,274
169,2001,CHRYSLER,SEBRING COUPE,COMPACT,3.0,6,M5,X,13.1,9.1,11.3,25,260
201,2001,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,AS4,X,15.3,10.7,13.3,21,306
458,2001,MERCEDES-BENZ,S 500,FULL-SIZE,5.0,8,A5,Z,16.2,11.1,13.9,20,320
542,2001,SATURN,L100/200,MID-SIZE,2.2,4,M5,X,12.2,8.2,10.4,27,239
573,2001,SUZUKI,GRAND VITARA 4X4,SUV,2.5,6,A4,X,14.5,12.5,13.6,21,313
216,2001,DODGE,RAM 1500 VAN,VAN - CARGO,3.9,6,A3,X,17.8,15.3,16.7,17,384
239,2001,FORD,E150 VAN,VAN - CARGO,5.4,8,A4,X,17.9,13.3,15.8,18,363
497,2001,PONTIAC,AZTEK,SUV,3.4,6,A4,X,13.8,9.8,12.0,24,276
439,2001,MERCEDES-BENZ,C 320,COMPACT,3.2,6,A5,Z,13.8,10.1,12.1,23,278
286,2001,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,4.0,6,A5,X,17.3,13.5,15.6,18,359
31,2001,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M5,Z,13.1,9.0,11.3,25,260
347,2001,HONDA,S2000,TWO-SEATER,2.0,4,M6,Z,13.2,9.9,11.7,24,269
276,2001,FORD,MUSTANG,SUBCOMPACT,3.8,6,M5,X,13.7,8.9,11.6,24,267
269,2001,FORD,FOCUS #,COMPACT,2.0,4,M5,X,10.9,7.9,9.5,30,219
85,2001,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,Z,15.6,9.4,12.8,22,294
73,2001,BMW,Z3,TWO-SEATER,2.5,6,A4,Z,13.3,9.6,11.6,24,267
128,2001,CHEVROLET,K1500 SUBURBAN 4X4,SUV,5.3,8,A4,X,19.1,15.4,17.5,16,403
182,2001,DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2.0,4,M5,X,11.9,8.2,10.3,27,237
476,2001,NISSAN,FRONTIER V6 4X4 #,PICKUP TRUCK - STANDARD,3.3,6,A4,Z,17.4,14.1,15.9,18,366
194,2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.6,15.0,18.6,15,428
665,2001,VOLVO,S60 2.4T TURBO,COMPACT,2.4,5,AS5,Z,12.9,9.1,11.2,25,258
72,2001,BMW,X5,SUV,4.4,8,A5,Z,18.2,13.9,16.3,17,375
374,2001,JAGUAR,XJR #,COMPACT,4.0,8,A5,Z,16.3,11.7,14.2,20,327
421,2001,MAZDA,B4000 4X4,PICKUP TRUCK - STANDARD,4.0,6,A5,X,17.3,13.5,15.6,18,359
536,2001,SAAB,9-5 WAGON TURBO,STATION WAGON - MID-SIZE,2.3,4,A4,X,13.3,9.0,11.4,25,262
222,2001,DODGE,RAM 2500 VAN,VAN - CARGO,5.2,8,A4,X,20.0,13.8,17.2,16,396
393,2001,KIA,RIO,SUBCOMPACT,1.5,4,M5,X,9.9,8.1,9.1,31,209
10,2001,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,15.6,10.7,13.4,21,308
673,2001,VOLVO,V70 T5 WAGON TURBO,STATION WAGON - MID-SIZE,2.3,5,AS5,Z,13.4,9.8,11.8,24,271
95,2001,CHEVROLET,BLAZER 4X4,SUV,4.3,6,M5,X,18.7,14.5,16.8,17,386
190,2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,A4,X,18.1,13.9,16.2,17,373
463,2001,MERCEDES-BENZ,SLK 230 KOMPRESSOR,TWO-SEATER,2.3,6,M6,Z,13.2,8.7,11.2,25,258
392,2001,KIA,RIO,SUBCOMPACT,1.5,4,A4,X,10.6,8.2,9.6,29,221
649,2001,VOLKSWAGEN,PASSAT 4MOTION,COMPACT,2.8,6,A5,Z,15.3,10.7,13.3,21,306
278,2001,FORD,MUSTANG,SUBCOMPACT,4.6,8,M5,X,15.0,10.3,12.9,22,297
110,2001,CHEVROLET,CAVALIER,COMPACT,2.4,4,A4,X,12.9,9.0,11.1,25,255
195,2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.9,15.0,18.8,15,432
116,2001,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.0,8,A4,X,18.7,14.6,16.9,17,389
123,2001,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.2,12.8,15.2,19,350
584,2001,TOYOTA,4RUNNER 4X4,SUV,3.4,6,A4,X,16.1,13.4,14.9,19,343
562,2001,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.2,4,A4,X,11.7,8.8,10.4,27,239
4,2001,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,15.0,10.9,13.1,22,301
672,2001,VOLVO,V70 2.4T WAGON TURBO,STATION WAGON - MID-SIZE,2.4,5,AS5,Z,13.3,9.5,11.6,24,267
367,2001,ISUZU,TROOPER 4X4,SUV,3.5,6,A4,X,17.3,13.4,15.6,18,359
409,2001,LINCOLN,LS,MID-SIZE,3.9,8,A5,Z,15.7,10.7,13.5,21,311
622,2001,VOLKSWAGEN,GOLF,COMPACT,1.8,4,A4,Z,11.9,9.1,10.7,26,246
242,2001,FORD,E250 VAN NGV,VAN - CARGO,5.4,8,A4,N,22.1,17.4,20.0,14,378
313,2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.1,13.6,15.5,18,357
310,2001,GMC,JIMMY 4X4,SUV,4.3,6,M5,X,18.7,14.5,16.8,17,386
445,2001,MERCEDES-BENZ,CLK 430 CABRIOLET,MINICOMPACT,4.3,8,A5,Z,14.8,10.5,12.9,22,297
270,2001,FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2.0,4,A4,X,10.5,7.9,9.3,30,214
230,2001,FORD,COUGAR,COMPACT,2.5,6,A4,X,13.3,8.9,11.3,25,260
69,2001,BMW,M5,COMPACT,4.9,8,M6,Z,19.4,12.3,16.2,17,373
204,2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,A4,X,17.0,12.7,15.1,19,347
271,2001,FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2.0,4,M5,X,9.6,7.2,8.5,33,196
373,2001,JAGUAR,XJ8L,MID-SIZE,4.0,8,A5,Z,15.3,10.7,13.3,21,306
564,2001,SUBARU,LEGACY AWD,COMPACT,2.5,4,A4,X,12.2,9.6,11.1,25,255
229,2001,DODGE,VIPER RT/10,TWO-SEATER,8.0,10,M6,Z,23.0,12.3,18.2,16,419
291,2001,FORD,TAURUS WAGON #,STATION WAGON - MID-SIZE,3.0,6,A4,X,14.3,9.9,12.3,23,283
633,2001,VOLKSWAGEN,JETTA,COMPACT,2.0,4,A4,X,11.9,9.0,10.6,27,244
388,2001,KIA,MAGENTIS,COMPACT,2.4,4,A4,X,13.3,9.6,11.6,24,267
608,2001,TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.7,4,A4,X,14.0,12.1,13.2,21,304
224,2001,DODGE,RAM 2500 VAN CNG,VAN - CARGO,5.2,8,A4,N,20.8,16.3,18.8,15,355
521,2001,PORSCHE,911 TURBO,MINICOMPACT,3.6,6,M6,Z,17.2,11.7,14.7,19,338
109,2001,CHEVROLET,CAVALIER,COMPACT,2.2,4,M5,X,12.2,8.1,10.4,27,239
120,2001,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.7,8,A4,X,19.9,15.0,17.7,16,407
582,2001,SUZUKI,XL-7 4X4,SUV,2.7,6,A4,X,15.4,12.8,14.2,20,327
546,2001,SATURN,SC COUPE,SUBCOMPACT,1.9,4,A4,X,10.3,7.2,8.9,32,205
647,2001,VOLKSWAGEN,PASSAT,MID-SIZE,2.8,6,A5,Z,14.6,9.8,12.4,23,285
404,2001,LEXUS,RX 300,SUV,3.0,6,A4,X,14.3,11.0,12.8,22,294
378,2001,JAGUAR,XKR CONVERTIBLE #,MINICOMPACT,4.0,8,A5,Z,16.3,11.7,14.2,20,327
504,2001,PONTIAC,FIREBIRD,SUBCOMPACT,5.7,8,M6,Z,14.4,9.8,12.3,23,283
620,2001,VOLKSWAGEN,CABRIO,SUBCOMPACT,2.0,4,A4,X,12.6,9.1,11.0,26,253
252,2001,FORD,EXPEDITION 4X4,SUV,4.6,8,A4,X,18.7,13.9,16.6,17,382
53,2001,BMW,525i,COMPACT,2.5,6,A5,Z,13.3,9.4,11.5,25,265
616,2001,TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.7,8,A4,X,17.8,14.2,16.1,18,370
303,2001,GMC,G15/G25 SAVANA CARGO,VAN - CARGO,5.7,8,A4,X,19.3,14.9,17.3,16,398
336,2001,HONDA,ACCORD,MID-SIZE,3.0,6,A4,X,13.2,9.0,11.3,25,260
162,2001,CHRYSLER,SEBRING,MID-SIZE,2.7,6,A4,X,13.4,9.3,11.5,25,265
308,2001,GMC,JIMMY,SUV,4.3,6,M5,X,17.0,12.2,14.9,19,343
48,2001,BMW,330Ci CONVERTIBLE,MINICOMPACT,3.0,6,M5,Z,14.5,10.3,12.6,22,290
498,2001,PONTIAC,AZTEK AWD,SUV,3.4,6,A4,X,14.3,10.3,12.5,23,288
34,2001,AUDI,TT ROADSTER QUATTRO #,TWO-SEATER,1.8,4,M6,Z,13.1,9.1,11.3,25,260
282,2001,FORD,RANGER,PICKUP TRUCK - STANDARD,4.0,6,A5,X,15.9,12.0,14.1,20,324
678,2001,VOLVO,V70 XC AWD TURBO,SUV,2.4,5,AS5,Z,14.8,11.4,13.3,21,306
89,2001,CHEVROLET,ASTRO CARGO AWD,VAN - CARGO,4.3,6,A4,X,17.2,12.8,15.2,19,350
354,2001,HYUNDAI,SANTA FE,SUV,2.7,6,A4,X,14.2,11.0,12.7,22,292
325,2001,GMC,SAFARI PASSENGER AWD,VAN - PASSENGER,4.3,6,A4,X,17.9,13.8,16.1,18,370
129,2001,CHEVROLET,K1500 TAHOE 4X4,SUV,4.8,8,A4,X,17.1,13.6,15.5,18,357
150,2001,CHRYSLER,CONCORDE,FULL-SIZE,3.2,6,A4,X,14.2,9.5,12.1,23,278
164,2001,CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.7,6,A4,X,13.4,9.3,11.5,25,265
243,2001,FORD,ESCAPE,SUV,2.0,4,M5,X,11.4,9.1,10.4,27,239
610,2001,TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,2.7,4,A4,X,13.9,11.9,13.0,22,299
312,2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.7,14.5,16.8,17,386
346,2001,HONDA,PRELUDE,SUBCOMPACT,2.2,4,M5,Z,12.0,9.6,10.9,26,251
566,2001,SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,2.5,4,A4,X,12.3,9.6,11.1,25,255
60,2001,BMW,540i,COMPACT,4.4,8,M6,Z,16.4,10.7,13.8,20,317
289,2001,FORD,TAURUS #,MID-SIZE,3.0,6,A4,X,13.5,9.5,11.7,24,269
559,2001,SUBARU,IMPREZA AWD,SUBCOMPACT,2.2,4,M5,X,11.8,8.8,10.5,27,242
237,2001,FORD,E150 VAN,VAN - CARGO,4.2,6,A4,X,18.0,13.0,15.8,18,363
203,2001,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,AS4,X,15.9,11.2,13.8,20,317
219,2001,DODGE,RAM 1500 WAGON,VAN - PASSENGER,3.9,6,A3,X,18.9,15.4,17.4,16,400
149,2001,CHRYSLER,CONCORDE,FULL-SIZE,2.7,6,A4,X,13.4,9.3,11.5,25,265
545,2001,SATURN,LW300 WAGON,STATION WAGON - MID-SIZE,3.0,6,A4,X,13.3,9.7,11.7,24,269
414,2001,MAZDA,626,MID-SIZE,2.0,4,M5,X,10.8,8.1,9.6,29,221
675,2001,VOLVO,V70 WAGON,STATION WAGON - MID-SIZE,2.4,5,A5,Z,12.8,9.3,11.2,25,258
189,2001,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,5.9,8,A4,X,20.7,14.7,18.0,16,414
677,2001,VOLVO,V70 WAGON AWD TURBO,STATION WAGON - MID-SIZE,2.4,5,AS5,Z,14.4,10.3,12.5,23,288
530,2001,SAAB,9-3 TURBO #,MID-SIZE,2.3,4,M5,Z,13.0,8.3,10.9,26,251
550,2001,SATURN,SL,COMPACT,1.9,4,A4,X,10.0,7.0,8.6,33,198
593,2001,TOYOTA,CELICA,SUBCOMPACT,1.8,4,A4,X,9.5,7.2,8.4,34,193
199,2001,DODGE,GRAND CARAVAN,MINIVAN,3.3,6,A4,X,14.9,10.6,13.0,22,299
256,2001,FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,A4,X,16.4,12.6,14.7,19,338
618,2001,TOYOTA,TUNDRA 4X4,PICKUP TRUCK - STANDARD,3.4,6,A4,X,17.2,14.4,16.0,18,368
422,2001,MAZDA,B4000 4X4,PICKUP TRUCK - STANDARD,4.0,6,M5,X,16.9,13.1,15.2,19,350
12,2001,AUDI,A4,COMPACT,1.8,4,M5,Z,11.8,8.1,10.1,28,232
629,2001,VOLKSWAGEN,GTI,COMPACT,1.8,4,M5,Z,11.0,8.3,9.8,29,225
632,2001,VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,Z,11.0,8.3,9.8,29,225
132,2001,CHEVROLET,MONTE CARLO,MID-SIZE,3.4,6,A4,X,12.5,8.0,10.4,27,239
571,2001,SUZUKI,ESTEEM WAGON,STATION WAGON - SMALL,1.8,4,A4,X,10.3,7.5,9.1,31,209
245,2001,FORD,ESCAPE 4X4,SUV,2.0,4,M5,X,12.0,9.8,11.0,26,253
667,2001,VOLVO,S60 T5 TURBO,COMPACT,2.3,5,M5,Z,12.9,9.1,11.2,25,258
361,2001,INFINITI,G20,COMPACT,2.0,4,M5,X,11.4,8.2,10.0,28,230
525,2001,PORSCHE,BOXSTER S,TWO-SEATER,3.2,6,M6,Z,15.0,10.1,12.8,22,294
496,2001,PLYMOUTH,PROWLER,TWO-SEATER,3.5,6,AS4,Z,15.4,11.2,13.5,21,311
32,2001,AUDI,TT COUPE QUATTRO #,MINICOMPACT,1.8,4,M6,Z,13.1,9.1,11.3,25,260
301,2001,GMC,G15/G25 SAVANA CARGO,VAN - CARGO,4.3,6,A4,X,17.8,13.9,16.0,18,368
307,2001,GMC,JIMMY,SUV,4.3,6,A4,X,15.4,11.4,13.6,21,313
188,2001,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,M5,X,17.9,12.5,15.4,18,354
272,2001,FORD,FOCUS WAGON #,STATION WAGON - MID-SIZE,2.0,4,A4,X,10.9,8.2,9.7,29,223
54,2001,BMW,525i,COMPACT,2.5,6,M5,Z,13.0,8.7,11.0,26,253
475,2001,NISSAN,FRONTIER V6 4X4,PICKUP TRUCK - STANDARD,3.3,6,M5,X,16.2,13.8,15.1,19,347
341,2001,HONDA,CR-V,SUV,2.0,4,A4,X,12.5,10.5,11.6,24,267
384,2001,JEEP,TJ 4X4,SUV,2.5,4,A3,X,16.4,13.9,15.3,18,352
532,2001,SAAB,9-5 TURBO,MID-SIZE,2.3,4,M5,X,13.1,8.6,11.1,25,255
578,2001,SUZUKI,VITARA 4-DOOR 4X4,SUV,2.0,4,M5,X,11.8,10.1,11.0,26,253
177,2001,DAEWOO,LEGANZA,MID-SIZE,2.2,4,A4,X,13.4,9.3,11.5,25,265
38,2001,BMW,325Ci,SUBCOMPACT,2.5,6,M5,Z,13.0,8.7,11.0,26,253
402,2001,LEXUS,LS 430,FULL-SIZE,4.3,8,A5,Z,14.4,10.4,12.6,22,290
134,2001,CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,A4,X,15.4,11.4,13.6,21,313
70,2001,BMW,X5,SUV,3.0,6,A5,Z,16.4,12.7,14.7,19,338
594,2001,TOYOTA,CELICA,SUBCOMPACT,1.8,4,AS4,Z,11.6,8.7,10.3,27,237
171,2001,CHRYSLER,TOWN & COUNTRY,MINIVAN,3.8,6,A4,X,15.3,10.9,13.3,21,306
657,2001,VOLVO,C70 CONVERTIBLE TURBO,SUBCOMPACT,2.4,5,A5,Z,13.3,9.5,11.6,24,267
642,2001,VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2.0,4,M5,X,11.2,8.3,9.9,29,228
398,2001,LEXUS,ES 300,COMPACT,3.0,6,A4,X,13.8,9.7,12.0,24,276
335,2001,HONDA,ACCORD,MID-SIZE,2.3,4,M5,X,11.0,8.1,9.7,29,223
619,2001,TOYOTA,TUNDRA 4X4,PICKUP TRUCK - STANDARD,4.7,8,A4,X,18.4,14.7,16.8,17,386
343,2001,HONDA,INSIGHT,TWO-SEATER,1.0,3,M5,X,4.9,4.0,4.5,63,104
411,2001,LINCOLN,NAVIGATOR 4X4,SUV,5.4,8,A4,Z,22.4,16.0,19.5,14,449
352,2001,HYUNDAI,ELANTRA,COMPACT,2.0,4,A4,X,11.0,7.8,9.5,30,219
255,2001,FORD,EXPLORER 4X4,SUV,5.0,8,A4,X,18.6,13.3,16.2,17,373
661,2001,VOLVO,S40 TURBO,COMPACT,1.9,4,A5,Z,11.9,8.1,10.2,28,235
228,2001,DODGE,VIPER GTS,TWO-SEATER,8.0,10,M6,Z,23.0,12.3,18.2,16,419
648,2001,VOLKSWAGEN,PASSAT,MID-SIZE,2.8,6,M5,Z,13.4,8.9,11.4,25,262
575,2001,SUZUKI,SWIFT,SUBCOMPACT,1.3,4,A3,X,9.1,7.4,8.3,34,191
146,2001,CHEVROLET,TRACKER VAN 4X4,SUV,2.0,4,M5,X,11.9,9.9,11.0,26,253
517,2001,PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M6,Z,15.4,10.2,13.1,22,301
144,2001,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,2.0,4,M5,X,11.9,9.9,11.0,26,253
